type,financial_year,month,num_vehicles
E-4 Wheelers,2017-18,Apr,198
E-4 Wheelers,2017-18,May,215
E-4 Wheelers,2017-18,Jun,149
E-4 Wheelers,2017-18,Jul,120
E-4 Wheelers,2017-18,Aug,137
E-4 Wheelers,2017-18,Sep,193
E-4 Wheelers,2017-18,Oct,214
E-4 Wheelers,2017-18,Nov,186
E-4 Wheelers,2017-18,Dec,179
E-4 Wheelers,2017-18,Jan,210
E-4 Wheelers,2017-18,Feb,258
E-4 Wheelers,2017-18,Mar,183
E-4 Wheelers,2018-19,Apr,214
E-4 Wheelers,2018-19,May,262
E-4 Wheelers,2018-19,Jun,288
E-4 Wheelers,2018-19,Jul,278
E-4 Wheelers,2018-19,Aug,198
E-4 Wheelers,2018-19,Sep,172
E-4 Wheelers,2018-19,Oct,90
E-4 Wheelers,2018-19,Nov,193
E-4 Wheelers,2018-19,Dec,154
E-4 Wheelers,2018-19,Jan,86
E-4 Wheelers,2018-19,Feb,230
E-4 Wheelers,2018-19,Mar,242
E-4 Wheelers,2019-20,Apr,124
E-4 Wheelers,2019-20,May,63
E-4 Wheelers,2019-20,Jun,60
E-4 Wheelers,2019-20,Jul,117
E-4 Wheelers,2019-20,Aug,108
E-4 Wheelers,2019-20,Sep,180
E-4 Wheelers,2019-20,Oct,195
E-4 Wheelers,2019-20,Nov,222
E-4 Wheelers,2019-20,Dec,122
E-4 Wheelers,2019-20,Jan,289
E-4 Wheelers,2019-20,Feb,496
E-4 Wheelers,2019-20,Mar,428
E-4 Wheelers,2020-21,Apr,3
E-4 Wheelers,2020-21,May,84
E-4 Wheelers,2020-21,Jun,295
E-4 Wheelers,2020-21,Jul,359
E-4 Wheelers,2020-21,Aug,371
E-4 Wheelers,2020-21,Sep,340
E-4 Wheelers,2020-21,Oct,462
E-4 Wheelers,2020-21,Nov,570
E-4 Wheelers,2020-21,Dec,526
E-4 Wheelers,2020-21,Jan,657
E-4 Wheelers,2020-21,Feb,627
E-4 Wheelers,2020-21,Mar,907
E-4 Wheelers,2021-22,Apr,1080
E-4 Wheelers,2021-22,May,262
E-4 Wheelers,2021-22,Jun,1041
E-4 Wheelers,2021-22,Jul,1260
E-4 Wheelers,2021-22,Aug,1202
E-4 Wheelers,2021-22,Sep,1361
E-4 Wheelers,2021-22,Oct,1419
E-4 Wheelers,2021-22,Nov,1681
E-4 Wheelers,2021-22,Dec,2645
E-4 Wheelers,2021-22,Jan,1587
E-4 Wheelers,2021-22,Feb,2474
E-4 Wheelers,2021-22,Mar,3770
E-4 Wheelers,2022-23,Apr,2310
E-4 Wheelers,2022-23,May,3007
E-4 Wheelers,2022-23,Jun,3280
E-4 Wheelers,2022-23,Jul,3454
E-4 Wheelers,2022-23,Aug,3417
E-4 Wheelers,2022-23,Sep,3589
E-4 Wheelers,2022-23,Oct,3950
E-4 Wheelers,2022-23,Nov,4027
E-4 Wheelers,2022-23,Dec,3879
E-4 Wheelers,2022-23,Jan,3490
E-4 Wheelers,2022-23,Feb,4850
E-4 Wheelers,2022-23,Mar,8852
