financial_year,maker,market_share,month,num_vehicles
2022-23,OLA ELECTRIC,0.21,Apr,12708
2022-23,OLA ELECTRIC,0.21,May,9268
2022-23,OLA ELECTRIC,0.21,Jun,5898
2022-23,OLA ELECTRIC,0.21,Jul,3864
2022-23,OLA ELECTRIC,0.21,Aug,3476
2022-23,OLA ELECTRIC,0.21,Sep,9896
2022-23,OLA ELECTRIC,0.21,Oct,16353
2022-23,OLA ELECTRIC,0.21,Nov,16385
2022-23,OLA ELECTRIC,0.21,Dec,17362
2022-23,OLA ELECTRIC,0.21,Jan,18338
2022-23,OLA ELECTRIC,0.21,Feb,17720
2022-23,OLA ELECTRIC,0.21,March,21299
2022-23,OKINAWA,0.13,Apr,11012
2022-23,OKINAWA,0.13,May,9307
2022-23,OKINAWA,0.13,Jun,6984
2022-23,OKINAWA,0.13,Jul,8098
2022-23,OKINAWA,0.13,Aug,8679
2022-23,OKINAWA,0.13,Sep,8498
2022-23,OKINAWA,0.13,Oct,14945
2022-23,OKINAWA,0.13,Nov,9065
2022-23,OKINAWA,0.13,Dec,5282
2022-23,OKINAWA,0.13,Jan,4408
2022-23,OKINAWA,0.13,Feb,3846
2022-23,OKINAWA,0.13,March,4507
2022-23,HERO ELECTRIC,0.12,Apr,6804
2022-23,HERO ELECTRIC,0.12,May,2971
2022-23,HERO ELECTRIC,0.12,Jun,6837
2022-23,HERO ELECTRIC,0.12,Jul,9306
2022-23,HERO ELECTRIC,0.12,Aug,10820
2022-23,HERO ELECTRIC,0.12,Sep,8210
2022-23,HERO ELECTRIC,0.12,Oct,8869
2022-23,HERO ELECTRIC,0.12,Nov,9027
2022-23,HERO ELECTRIC,0.12,Dec,8101
2022-23,HERO ELECTRIC,0.12,Jan,6399
2022-23,HERO ELECTRIC,0.12,Feb,5865
2022-23,HERO ELECTRIC,0.12,March,6653
2022-23,AMPERE,0.12,Apr,6865
2022-23,AMPERE,0.12,May,6179
2022-23,AMPERE,0.12,Jun,6920
2022-23,AMPERE,0.12,Jul,6813
2022-23,AMPERE,0.12,Aug,6773
2022-23,AMPERE,0.12,Sep,6478
2022-23,AMPERE,0.12,Oct,10077
2022-23,AMPERE,0.12,Nov,12260
2022-23,AMPERE,0.12,Dec,4422
2022-23,AMPERE,0.12,Jan,4371
2022-23,AMPERE,0.12,Feb,5850
2022-23,AMPERE,0.12,March,9343
2022-23,TVS,0.11,Apr,1498
2022-23,TVS,0.11,May,480
