type,financial_year,month,num_vehicles
E-Buses,2017-18,Apr,0
E-Buses,2017-18,May,2
E-Buses,2017-18,Jun,1
E-Buses,2017-18,Jul,0
E-Buses,2017-18,Aug,0
E-Buses,2017-18,Sep,0
E-Buses,2017-18,Oct,0
E-Buses,2017-18,Nov,11
E-Buses,2017-18,Dec,0
E-Buses,2017-18,Jan,0
E-Buses,2017-18,Feb,11
E-Buses,2017-18,Mar,10
E-Buses,2018-19,Apr,9
E-Buses,2018-19,May,2
E-Buses,2018-19,Jun,1
E-Buses,2018-19,Jul,0
E-Buses,2018-19,Aug,0
E-Buses,2018-19,Sep,0
E-Buses,2018-19,Oct,1
E-Buses,2018-19,Nov,7
E-Buses,2018-19,Dec,2
E-Buses,2018-19,Jan,5
E-Buses,2018-19,Feb,43
E-Buses,2018-19,Mar,5
E-Buses,2019-20,Apr,0
E-Buses,2019-20,May,0
E-Buses,2019-20,Jun,0
E-Buses,2019-20,Jul,0
E-Buses,2019-20,Aug,0
E-Buses,2019-20,Sep,1
E-Buses,2019-20,Oct,8
E-Buses,2019-20,Nov,34
E-Buses,2019-20,Dec,6
E-Buses,2019-20,Jan,39
E-Buses,2019-20,Feb,186
E-Buses,2019-20,Mar,95
E-Buses,2020-21,Apr,0
E-Buses,2020-21,May,0
E-Buses,2020-21,Jun,0
E-Buses,2020-21,Jul,0
E-Buses,2020-21,Aug,0
E-Buses,2020-21,Sep,1
E-Buses,2020-21,Oct,8
E-Buses,2020-21,Nov,34
E-Buses,2020-21,Dec,10
E-Buses,2020-21,Jan,39
E-Buses,2020-21,Feb,186
E-Buses,2020-21,Mar,95
E-Buses,2021-22,Apr,155
E-Buses,2021-22,May,85
E-Buses,2021-22,Jun,70
E-Buses,2021-22,Jul,49
E-Buses,2021-22,Aug,80
E-Buses,2021-22,Sep,79
E-Buses,2021-22,Oct,84
E-Buses,2021-22,Nov,34
E-Buses,2021-22,Dec,221
E-Buses,2021-22,Jan,129
E-Buses,2021-22,Feb,134
E-Buses,2021-22,Mar,78
E-Buses,2022-23,Apr,166
E-Buses,2022-23,May,167
E-Buses,2022-23,Jun,146
E-Buses,2022-23,Jul,208
E-Buses,2022-23,Aug,228
E-Buses,2022-23,Sep,204
E-Buses,2022-23,Oct,243
E-Buses,2022-23,Nov,118
E-Buses,2022-23,Dec,151
E-Buses,2022-23,Jan,98
E-Buses,2022-23,Feb,99
E-Buses,2022-23,Mar,89
